Team,TeamName,W,L,WinPct_V2,WinPct,PTS,MOV,SRS,ORtg,DRtg,NRtg,Pace,TS%,Payroll,PayrollMillions,CapAllocations,Cap Space,DeadCash,DeadCap,FinancialEfficiencyScore,FinancialFlexibilityScore,TeamPerformanceScore,HustleCompositeScore,FrontOfficeCompositeScore,FrontOfficeCompositeRank,AvgAge,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,RosterAge,CostPerWin,PayrollRank,CapAllocationRank,PointDiffPerDollar,NetRatingPerMillion,G,MP,FG,FGA,3P,3PA,2P,2PA,2P%,FT,FTA,ORB,DRB,PF,RosterAge_Advanced,AdvancedSource_W,AdvancedSource_L,PW,PL,AdvancedSource_MOV,SOS,AdvancedSource_SRS,AdvancedSource_ORtg,AdvancedSource_DRtg,AdvancedSource_NRtg,AdvancedSource_Pace,FTr,3PAr,AdvancedSource_TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT_FGA,Opp_eFG%,Opp_TOV%,Def_DRB%,Opp_FT_FGA,Arena,TotalAttendance,AttendancePerGame,PayrollSource_PayrollSourceRank,PayrollSource_Record,PayrollSource_SignedPlayers,PayrollSource_PayrollAvgAge,PayrollSource_ActiveCash,PayrollSource_DeadCash_Source,PayrollSource_RetainedCash,PayrollSource_TotalCashPayroll,CapSource_CapSourceRank,CapSource_Record,CapSource_CapPlayerCount,CapSource_CapActiveAvgAge,CapSource_TotalCapAllocations_Source,CapSource_CapSpace_Source,CapSource_AllActiveCap,CapSource_ActiveTop3Cap,CapSource_DeadCap_Source,Min,Screen Assists,Screen Assists PTS,Deflections,OFF Loose Balls Recovered,DEF Loose Balls Recovered,Loose Balls Recovered,% Loose Balls Recovered OFF,% Loose Balls Recovered DEF,Charges Drawn,Contested 2PT Shots,Contested 3PT Shots,Contested Shots,Salary_PlayerCount,Salary_PlayersWithCurrentSalary,Salary_CurrentTotal,Salary_CurrentMean,Salary_CurrentMedian,Salary_CurrentMax,Salary_CurrentMin,Salary_CurrentStd,Salary_CurrentRange,Salary_Top3Total,Salary_Top5Total,Salary_GuaranteedTotal,Salary_Top1Share,Salary_Top3Share,Salary_Top5Share,Salary_ConcentrationHHI,Salary_2026_27_TeamTotal,Salary_2027_28_TeamTotal,Salary_2028_29_TeamTotal,Salary_2029_30_TeamTotal,Salary_2030_31_TeamTotal,G_Shooting,MP_Shooting,Shooting_FG%,AverageShotDistance,FGA_Share_2P,FGA_Share_0_3,FGA_Share_3_10,FGA_Share_10_16,FGA_Share_16_3P,FGA_Share_3P,FGPct_2P,FGPct_0_3,FGPct_3_10,FGPct_10_16,FGPct_16_3P,FGPct_3P,AssistedFGPct_2P,AssistedFGPct_3P,Dunk_FGA_Share,Dunks_Made,Layup_FGA_Share,Layups_Made,Corner3_ShareOf3PA,Corner3_FG%,HalfCourt_Attempts,HalfCourt_Makes,TotalCashPayroll,ActiveCash,DeadCash_Source,RetainedCash,SignedPlayers,PayrollAvgAge,TotalCapAllocations_Source,CapSpace_Source,AllActiveCap,ActiveTop3Cap,DeadCap_Source,CapPlayerCount,CapActiveAvgAge,GamesPlayed_Record,ScoringAboveLeagueAvg,PayrollVsLeagueAverage,PayrollPercentile,CostPerWin_V2,WinsPerPayrollMillion,MOVPerPayrollMillion,NetRatingPerPayrollMillion_V2,OffensiveRatingPerPayrollMillion,DeadCashPctOfPayroll,DeadCapPctOfAllocations,CapAllocationsPerWin,RetainedCashPctOfPayroll,ActiveCashPctOfPayroll,CapTop3Share,CapSpacePctOfAllocations,PlayerSalaryCoverageOfPayroll,GuaranteedToCurrentSalaryRatio,SalaryCoefficientOfVariation,CalculatedNetRating,EffectiveFGDifferential,TurnoverRateDifferential,ReboundingComposite,AssistTurnoverRatio,ThreePointAttemptRate_Calculated,FreeThrowAttemptRate_Calculated,OffensiveReboundShare,RimAndThreeShare,RimToThreeBalance,RimThreeEfficiencyAverage,Corner3EfficiencyPremium,AssistedShotProfile,RimFinishesMade,HustleCompositeZ,DeflectionsPerWin,LooseBallsRecoveredPerWin,ContestedShotsPerWin,FinancialEfficiencyZ,TeamPerformanceZ,FinancialFlexibilityZ
ATL,Atlanta Hawks,46.0,36.0,0.560976,0.561,118.5,2.41,2.38,116.1,113.7,2.4,101.7,0.584,189875927,189.875927,193255583,-38608583,5262100,6242481,60.0,90.0,60.0,89.655172,74.913793,4,25.6,0.474,0.371,0.774,43.5,30.1,9.4,4.7,14.2,25.2,4127737.543,15.0,20.0,0.013,0.013,82,240.9,43.6,92.0,14.6,39.5,29.0,52.5,0.552,16.6,21.5,11.0,32.6,19.7,25.2,46.0,36.0,47,35,2.41,-0.03,2.38,116.1,113.7,2.4,101.7,0.234,0.429,0.584,0.554,12.3,24.4,0.181,0.546,13.9,74.5,0.206,State Farm Arena,670581,16356,15,46-36,15,25.6,137989431,5262100,46624396,189875927,12,46-36,15,25.6,193255583,-38608583,180372060,84466235,6242481,47.7,7.8,18.3,19.9,2.4,2.5,4.8,48.9,51.1,0.21,27.0,16.3,43.3,18,18,186522162,10362342.333333,8463610.5,30666666,699440,9464203.477809,29967226,84466235,114628035,516504880,0.164413,0.452848,0.614555,0.101898,153088971,131184877,90012704,55000000,,82,19755,0.474,14.2,0.571,0.244,0.2,0.085,0.041,0.429,0.552,0.687,0.45,0.474,0.405,0.371,0.581,0.909,0.059,396,0.246,1061,0.257,0.381,1,1,189875927,137989431,5262100,46624396,15,25.6,193255583,-38608583,180372060,84466235,6242481,15,25.6,82.0,2.893333,-193611.866667,46.666667,4127737.543478,0.242263,0.012692,0.01264,0.611452,0.027713,0.032302,4201208.326087,0.245552,0.726735,0.468289,-0.19978,0.982337,2.769134,0.913327,2.4,0.008,1.6,-1.1,2.119718,0.429348,0.233696,0.252874,0.673,0.568765,0.529,0.01,0.745,1457,0.587131,0.432609,0.104348,0.941304,0.397367,0.386948,0.590879
TOR,Toronto Raptors,46.0,36.0,0.560976,0.561,114.6,2.83,2.75,115.9,113.0,2.9,98.4,0.581,190830670,190.83067,194966020,-40319020,1813382,2674222,70.0,60.0,66.666667,41.37931,59.511494,10,25.2,0.482,0.354,0.769,42.1,29.5,8.8,4.8,13.7,24.8,4148492.826,13.0,17.0,0.015,0.015,82,241.2,42.6,88.4,11.4,32.1,31.3,56.3,0.555,18.0,23.4,10.9,31.2,20.9,24.8,46.0,36.0,48,34,2.83,-0.08,2.75,115.9,113.0,2.9,98.4,0.265,0.363,0.581,0.546,12.2,25.5,0.204,0.54,14.3,74.0,0.222,Scotiabank Arena,772141,18833,13,46-36,15,25.2,184425980,1813382,4591308,190830670,11,46-36,15,25.2,194966020,-40319020,184295524,109256988,2674222,47.5,7.0,15.6,20.4,1.9,2.1,4.0,48.0,52.0,0.28,23.7,15.1,38.8,16,16,187024115,11689007.1875,3049811.5,38661750,458711,13864078.293814,38203039,109256988,156462345,629152463,0.206721,0.584187,0.836589,0.150424,193059996,159388564,118799254,78333510,,82,19780,0.482,13.4,0.637,0.266,0.188,0.127,0.056,0.363,0.555,0.708,0.444,0.458,0.426,0.354,0.6,0.942,0.062,390,0.265,1161,0.267,0.388,1,0,190830670,184425980,1813382,4591308,15,25.2,194966020,-40319020,184295524,109256988,2674222,15,25.2,82.0,-1.006667,761131.133333,40.0,4148492.826087,0.241051,0.01483,0.015197,0.607345,0.009503,0.013716,4238391.73913,0.02406,0.966438,0.592836,-0.2068,0.980053,3.364018,1.186078,2.9,0.006,2.1,-0.5,2.153285,0.363122,0.264706,0.258907,0.629,0.732782,0.531,0.034,0.771,1551,-0.120142,0.443478,0.086957,0.843478,0.523442,0.440165,0.153771
ORL,Orlando Magic,45.0,37.0,0.54878,0.549,115.7,0.63,0.81,114.9,114.3,0.6,100.0,0.576,193784363,193.784363,194063614,-39416614,636435,0,63.333333,76.666667,50.0,34.482759,56.12069,14,24.9,0.464,0.343,0.801,43.4,26.5,8.5,4.7,14.2,24.7,4306319.178,11.0,19.0,0.003,0.003,82,241.8,41.0,88.3,11.7,34.1,29.3,54.2,0.54,22.0,27.5,11.0,32.4,21.0,24.7,45.0,37.0,43,39,0.63,0.17,0.81,114.9,114.3,0.6,100.0,0.311,0.386,0.576,0.531,12.4,25.0,0.249,0.545,13.1,75.6,0.223,Kia Center,768906,18462,11,45-37,15,24.9,188254449,636435,4893479,193784363,15,45-37,15,24.9,194063614,-39416614,187670352,110387420,0,47.6,7.3,16.6,17.0,2.1,2.2,4.3,48.0,52.0,0.26,25.4,15.2,40.6,14,14,194151756,13867982.571429,8151806.5,38661750,1272870,12610826.174149,37388880,110387420,140722189,867779811,0.199132,0.568563,0.724805,0.130494,222030208,207430667,212412400,129193510,54780000,82,19830,0.464,13.5,0.614,0.247,0.227,0.092,0.047,0.386,0.54,0.705,0.438,0.415,0.416,0.343,0.564,0.856,0.064,406,0.303,1225,0.271,0.385,1,1,193784363,188254449,636435,4893479,15,24.9,194063614,-39416614,187670352,110387420,0,15,24.9,82.0,0.093333,3714824.133333,33.333333,4306319.177778,0.232217,0.003251,0.003096,0.592927,0.003284,0.0,4312524.755556,0.025252,0.971464,0.588199,-0.203112,1.001896,4.469595,0.909348,0.6,-0.014,0.7,0.6,1.866197,0.386183,0.311438,0.253456,0.633,0.639896,0.524,0.042,0.71,1631,-0.147773,0.377778,0.095556,0.902222,0.398911,0.155962,0.30442
PHI,Philadelphia 76ers,45.0,37.0,0.54878,0.549,115.9,-0.18,-0.27,115.4,115.5,-0.1,99.4,0.572,201046837,201.046837,199898431,-45251431,1647784,1123547,53.333333,13.333333,43.333333,82.758621,48.189655,18,26.4,0.462,0.349,0.809,43.6,24.6,9.1,5.7,13.6,25.5,4467707.489,6.0,13.0,-0.001,-0.0,82,242.4,41.7,90.3,12.3,35.3,29.4,55.0,0.535,20.1,24.8,11.8,31.9,20.3,25.5,45.0,37.0,41,41,-0.18,-0.09,-0.27,115.4,115.5,-0.1,99.4,0.275,0.391,0.572,0.53,11.9,26.2,0.222,0.541,13.3,72.5,0.212,Xfinity Mobile Arena,778871,18997,6,45-37,15,26.4,193913358,1647784,5485695,201046837,14,45-37,15,26.4,199898431,-45251431,192381622,144849376,1123547,47.9,7.1,16.8,20.6,2.2,2.6,4.8,46.4,53.6,0.22,24.6,15.6,40.2,17,17,193496208,11382129.882353,2461463.0,55224526,263940,17634331.742894,54960586,144849376,164699465,513355968,0.285404,0.74859,0.851177,0.200019,180319943,182766320,131971465,,,82,19880,0.462,14.0,0.609,0.266,0.187,0.093,0.064,0.391,0.535,0.67,0.434,0.413,0.443,0.349,0.499,0.805,0.058,372,0.292,1216,0.214,0.372,1,1,201046837,193913358,1647784,5485695,15,26.4,199898431,-45251431,192381622,144849376,1123547,15,26.4,82.0,0.293333,10977298.133333,16.666667,4467707.488889,0.223828,-0.000895,-0.000497,0.573996,0.008196,0.005621,4442187.355556,0.027286,0.964518,0.752927,-0.226372,0.962443,2.653054,1.5493,-0.1,-0.011,1.4,-1.3,1.808824,0.390919,0.27464,0.270642,0.657,0.680307,0.5095,0.023,0.652,1588,0.31576,0.457778,0.106667,0.893333,0.293505,0.048573,-0.525322
PHX,Phoenix Suns,45.0,37.0,0.54878,0.549,112.6,1.46,1.75,115.4,113.9,1.5,97.2,0.568,190287848,190.287848,207796989,-53149989,24209031,25493325,43.333333,10.0,53.333333,62.068966,42.183908,21,25.8,0.455,0.361,0.781,43.1,24.6,9.5,4.2,14.5,26.8,4228618.844,14.0,8.0,0.008,0.008,82,240.9,41.0,90.1,14.8,40.8,26.2,49.3,0.533,15.8,20.3,13.0,30.1,20.6,26.8,45.0,37.0,45,37,1.46,0.28,1.75,115.4,113.9,1.5,97.2,0.225,0.453,0.568,0.537,12.8,28.9,0.176,0.541,14.5,71.9,0.217,Mortgage Matchup Center,699911,17071,14,45-37,15,25.8,161323492,24209031,4755325,190287848,13,45-37,15,25.8,207796989,-53149989,162373811,108850873,25493325,47.7,8.5,20.6,20.3,2.5,2.2,4.7,53.1,46.9,0.2,21.1,14.0,35.1,18,18,200962926,11164607.0,6006177.0,53142264,706898,13633234.774807,52435366,111463773,149462883,567659796,0.264438,0.554648,0.743734,0.138395,191407638,170860954,97728683,88574238,,82,19755,0.455,15.8,0.547,0.198,0.17,0.117,0.062,0.453,0.533,0.69,0.445,0.449,0.425,0.361,0.485,0.808,0.06,385,0.222,893,0.21,0.395,2,1,190287848,161323492,24209031,4755325,15,25.8,207796989,-53149989,162373811,108850873,25493325,15,25.8,82.0,-3.006667,218309.133333,43.333333,4228618.844444,0.236484,0.007673,0.007883,0.60645,0.127223,0.122684,4617710.866667,0.02499,0.847787,0.670372,-0.255778,1.0561,2.824699,1.221112,1.5,-0.004,1.7,0.8,1.696552,0.45283,0.225305,0.301624,0.651,0.437086,0.5255,0.034,0.6465,1278,0.036064,0.451111,0.104444,0.78,-0.263735,0.266385,-0.550956
CHA,Charlotte Hornets,44.0,38.0,0.536585,0.537,116.0,4.83,4.48,119.4,114.4,5.0,96.8,0.589,177308045,177.308045,183806358,-29159358,21725327,29309090,46.666667,66.666667,73.333333,58.62069,61.321839,9,24.3,0.46,0.378,0.818,46.1,26.3,7.0,4.5,15.4,24.0,4029728.295,27.0,26.0,0.027,0.028,82,240.9,40.9,88.9,16.4,43.3,24.6,45.6,0.538,17.8,21.7,12.8,33.3,19.1,24.0,44.0,38.0,53,29,4.83,-0.35,4.48,119.4,114.4,5.0,96.8,0.244,0.487,0.589,0.552,13.5,30.5,0.2,0.54,11.6,76.6,0.186,Spectrum Center,767319,18715,27,44-38,15,24.3,153328579,21725327,2254139,177308045,16,44-38,15,24.3,183806358,-29159358,154497268,76625427,29309090,47.5,8.7,20.9,13.8,2.4,1.9,4.3,56.5,43.5,0.23,28.6,15.8,44.4,18,18,183093722,10171873.444444,9007840.0,37958760,2270735,8886141.489953,35688025,76625427,103159816,412198168,0.207319,0.418504,0.563426,0.097954,148402018,81137595,71290428,,,82,19755,0.46,15.5,0.513,0.213,0.204,0.072,0.025,0.487,0.538,0.706,0.43,0.408,0.363,0.378,0.518,0.832,0.065,415,0.224,887,0.221,0.436,3,2,177308045,153328579,21725327,2254139,15,24.3,183806358,-29159358,154497268,76625427,29309090,15,24.3,82.0,0.393333,-12761493.866667,86.666667,4029728.295455,0.248156,0.027241,0.0282,0.673404,0.122529,0.159456,4177417.227273,0.012713,0.864758,0.495966,-0.158642,1.032631,2.251296,0.873599,5.0,0.012,-1.9,7.1,1.707792,0.487064,0.244094,0.277657,0.7,0.437372,0.542,0.058,0.675,1302,0.020522,0.313636,0.097727,1.009091,0.018842,0.644044,0.204477
MIA,Miami Heat,43.0,39.0,0.52439,0.524,120.9,2.33,2.35,116.7,114.5,2.2,103.4,0.58,188260468,188.260468,197952062,-43305062,26643031,26643031,40.0,23.333333,56.666667,13.793103,33.448276,24,25.2,0.468,0.361,0.792,46.3,29.0,8.6,4.3,13.7,26.2,4378150.419,18.0,15.0,0.012,0.012,82,240.3,43.7,93.3,13.7,37.9,30.0,55.4,0.542,19.8,25.0,11.8,34.5,18.9,26.2,43.0,39.0,47,35,2.33,0.02,2.35,116.7,114.5,2.2,103.4,0.268,0.406,0.58,0.542,11.6,25.4,0.212,0.54,12.8,74.9,0.193,Kaseya Center,808063,19709,18,43-39,15,25.2,160549396,26643031,1068041,188260468,17,43-39,15,25.2,197952062,-43305062,159827661,96319835,26643031,47.7,3.0,7.0,17.8,2.0,2.1,4.1,49.4,50.6,0.46,24.7,17.6,42.3,15,15,186447146,12429809.733333,4445417.0,37096620,395029,12194109.982511,36701591,96319835,143445624,410311510,0.198966,0.516607,0.769363,0.130829,163037112,85309075,79069687,16200000,,82,19705,0.468,13.7,0.594,0.237,0.243,0.081,0.032,0.406,0.542,0.683,0.463,0.432,0.369,0.361,0.544,0.923,0.05,345,0.279,1230,0.247,0.379,2,1,188260468,160549396,26643031,1068041,15,25.2,197952062,-43305062,159827661,96319835,26643031,15,25.2,82.0,5.293333,-1809070.866667,56.666667,4378150.418605,0.228407,0.012376,0.011686,0.619886,0.141522,0.134593,4603536.325581,0.005673,0.852805,0.602648,-0.218765,0.990368,2.200685,0.981038,2.2,0.002,1.2,0.3,2.116788,0.406217,0.267953,0.25486,0.643,0.583744,0.522,0.018,0.7335,1575,-0.440658,0.413953,0.095349,0.983721,-0.351179,0.319157,-0.292575
LAC,Los Angeles Clippers,42.0,40.0,0.512195,0.512,113.8,1.13,0.96,117.3,116.1,1.2,96.5,0.602,198636382,198.636382,199054230,-44407230,363480,263940,56.666667,70.0,46.666667,,57.777778,13,27.5,0.484,0.368,0.823,40.6,23.7,9.0,4.9,14.3,30.0,4729437.667,8.0,14.0,0.006,0.006,82,241.2,40.5,83.6,12.4,33.8,28.1,49.8,0.564,20.3,24.7,9.6,31.0,18.9,30.0,42.0,40.0,44,38,1.13,-0.17,0.96,117.3,116.1,1.2,96.5,0.295,0.404,0.602,0.559,13.2,23.7,0.243,0.545,12.9,72.9,0.197,Intuit Dome,722504,17622,8,42-40,15,27.5,155786780,363480,42486122,198636382,18,42-40,15,27.5,199054230,-44407230,189852974,116026090,263940,,,,,,,,,,,,,,17,17,209763864,12339050.823529,7600000.0,50000000,263940,14213801.191991,49736060,116026090,156783100,356725316,0.238363,0.553127,0.747427,0.13688,181547350,76175415,24831366,19383010,,82,19780,0.484,14.3,0.596,0.207,0.237,0.106,0.046,0.404,0.564,0.732,0.495,0.47,0.379,0.368,0.496,0.789,0.065,392,0.241,979,0.241,0.415,0,0,198636382,155786780,363480,42486122,15,27.5,199054230,-44407230,189852974,116026090,263940,15,27.5,82.0,-1.806667,8566843.133333,23.333333,4729437.666667,0.211442,0.005689,0.006041,0.590526,0.00183,0.001326,4739386.428571,0.213889,0.784281,0.611137,-0.223091,1.056019,1.700604,1.151936,1.2,0.014,-0.3,-3.4,1.657343,0.404306,0.295455,0.236453,0.611,0.512376,0.55,0.047,0.6425,1371,,,,,0.332959,0.152101,0.267658
POR,Portland Trail Blazers,42.0,40.0,0.512195,0.512,115.5,-0.29,-0.29,114.4,114.7,-0.3,100.5,0.57,188664578,188.664578,197927822,-43280822,26455281,25818846,33.333333,43.333333,40.0,24.137931,35.201149,23,25.0,0.453,0.343,0.765,46.0,25.1,8.3,5.5,17.3,25.2,4492013.762,17.0,16.0,-0.002,-0.002,82,240.9,40.9,90.1,14.5,42.2,26.4,47.9,0.551,19.3,25.2,14.1,31.9,19.9,25.2,42.0,40.0,40,42,-0.29,0.01,-0.29,114.4,114.7,-0.3,100.5,0.28,0.469,0.57,0.534,14.6,31.3,0.214,0.541,13.5,72.7,0.215,Moda Center,718863,17533,17,42-40,16,25.0,160447930,26455281,1761367,188664578,19,42-40,16,25.0,197927822,-43280822,161370946,78775001,25818846,47.5,5.6,13.0,16.7,2.2,1.8,4.1,55.0,45.0,0.41,26.2,14.8,41.1,18,18,221289823,12293879.055556,7789191.5,36620603,268032,12153839.827916,36352571,102675417,149050418,495113975,0.165487,0.463986,0.673553,0.109853,200818701,181020943,74524208,69846958,,82,19755,0.453,14.7,0.531,0.257,0.185,0.055,0.035,0.469,0.551,0.699,0.424,0.38,0.405,0.343,0.499,0.829,0.075,473,0.289,1196,0.242,0.34,0,0,188664578,160447930,26455281,1761367,16,25.0,197927822,-43280822,161370946,78775001,25818846,16,25.0,82.0,-0.106667,-1404960.866667,53.333333,4492013.761905,0.222617,-0.001537,-0.00159,0.606367,0.140224,0.130446,4712567.190476,0.009336,0.85044,0.488161,-0.21867,1.172927,2.237401,0.988609,-0.3,-0.007,-1.1,4.0,1.450867,0.468368,0.279689,0.306522,0.726,0.547974,0.521,-0.003,0.664,1669,-0.297678,0.397619,0.097619,0.978571,-0.50099,-0.02002,-0.066543
GSW,Golden State Warriors,37.0,45.0,0.45122,0.451,114.6,-0.56,-0.34,115.0,115.6,-0.6,99.0,0.584,210019601,210.019601,234222725,-79575725,529164,263940,50.0,6.666667,36.666667,96.551724,47.471264,19,28.8,0.461,0.356,0.807,42.3,28.9,9.7,4.2,15.7,28.6,5676205.432,4.0,1.0,-0.003,-0.003,82,241.5,40.9,88.8,15.7,44.1,25.3,44.7,0.565,17.0,21.1,11.4,31.0,19.6,28.6,37.0,45.0,40,42,-0.56,0.22,-0.34,115.0,115.6,-0.6,99.0,0.238,0.497,0.584,0.549,13.8,25.8,0.192,0.553,14.0,72.9,0.198,Chase Center,740624,18064,4,37-45,15,28.8,184497249,529164,22366514,210019601,20,37-45,15,28.8,234222725,-79575725,204850563,144464974,263940,47.7,7.6,18.9,19.2,2.5,2.5,5.0,50.2,49.8,0.54,25.5,15.2,40.7,14,14,204744987,14624641.928571,3384440.5,59606817,857804,19479002.409017,58749013,144464974,181931906,367550849,0.291127,0.705585,0.888578,0.198146,181479537,20951826,8106068,,,82,19805,0.461,15.7,0.503,0.198,0.201,0.067,0.037,0.497,0.565,0.736,0.483,0.418,0.365,0.356,0.593,0.886,0.034,226,0.279,1248,0.251,0.398,1,1,210019601,184497249,529164,22366514,15,28.8,234222725,-79575725,204850563,144464974,263940,15,28.8,82.0,-1.006667,19950062.133333,10.0,5676205.432432,0.176174,-0.002666,-0.002857,0.547568,0.00252,0.001127,6330343.918919,0.106497,0.878476,0.705221,-0.339744,0.974885,1.795164,1.33193,-0.6,-0.004,0.2,-1.3,1.840764,0.496622,0.237613,0.269504,0.695,0.39839,0.546,0.042,0.7395,1474,0.820127,0.518919,0.135135,1.1,0.06763,-0.137235,-0.948362
MIL,Milwaukee Bucks,32.0,50.0,0.390244,0.39,110.6,-6.21,-6.12,112.9,119.3,-6.4,97.6,0.589,181457807,181.457807,182099997,-27452997,28508207,29483415,13.333333,20.0,26.666667,3.448276,15.862069,30,27.2,0.477,0.387,0.73,40.7,25.8,7.4,4.0,15.2,27.1,5670556.469,24.0,27.0,-0.034,-0.035,82,240.9,40.8,85.5,15.1,39.1,25.7,46.4,0.553,13.9,19.1,8.9,31.8,19.7,27.1,32.0,50.0,26,56,-6.21,0.09,-6.12,112.9,119.3,-6.4,97.6,0.223,0.457,0.589,0.565,13.9,21.1,0.163,0.558,11.7,74.1,0.215,Fiserv Forum,682644,16650,24,32-50,16,27.2,148949876,28508207,3999724,181457807,21,32-50,16,27.2,182099997,-27452997,152616582,102005306,29483415,47.4,6.3,14.6,16.6,1.8,2.0,3.8,47.4,52.6,0.17,22.1,15.2,37.3,20,19,199150895,10481626.052632,3697105.0,54126450,666667,13971374.518841,53459783,116065304,151921663,467285439,0.271786,0.582801,0.762847,0.146144,192645943,158369318,63284379,34971958,,82,19755,0.477,15.5,0.543,0.217,0.155,0.098,0.072,0.457,0.553,0.746,0.425,0.44,0.401,0.387,0.494,0.868,0.061,388,0.226,918,0.276,0.433,1,0,181457807,148949876,28508207,3999724,16,27.2,182099997,-27452997,152616582,102005306,29483415,16,27.2,82.0,-5.006667,-8611731.866667,76.666667,5670556.46875,0.17635,-0.034223,-0.03527,0.622183,0.157107,0.161908,5690624.90625,0.022042,0.820851,0.668376,-0.150758,1.097505,2.346389,1.33294,-6.4,0.007,-2.2,-4.8,1.697368,0.45731,0.223392,0.218673,0.674,0.474836,0.5665,0.046,0.681,1306,-0.9546,0.51875,0.11875,1.165625,-1.156607,-0.941228,-0.412623
CHI,Chicago Bulls,31.0,51.0,0.378049,0.378,116.3,-5.21,-5.09,113.0,118.1,-5.1,102.5,0.58,182641502,182.641502,187673271,-33026271,10844750,16916687,30.0,93.333333,33.333333,79.310345,58.994253,11,24.7,0.469,0.356,0.776,45.0,28.5,7.6,5.0,15.3,25.3,5891661.355,23.0,24.0,-0.029,-0.028,82,240.9,42.4,90.5,14.3,40.1,28.1,50.4,0.559,17.3,22.2,10.4,34.7,19.0,25.3,31.0,51.0,29,53,-5.21,0.12,-5.09,113.0,118.1,-5.1,102.5,0.246,0.443,0.58,0.547,13.3,23.1,0.191,0.553,11.1,75.5,0.19,United Center,829997,20244,23,31-51,15,24.7,137691448,10844750,34105304,182641502,22,31-51,15,24.7,187673271,-33026271,166164036,71853571,16916687,47.7,6.3,14.3,14.4,2.1,2.0,4.2,51.0,49.0,0.61,28.0,17.7,45.7,16,16,183704631,11481539.4375,8500000.0,27678571,2221677,7427421.766855,25456894,71653571,107734067,334161219,0.150669,0.390048,0.586453,0.088655,92955470,73320259,51230464,,,82,19755,0.469,13.7,0.557,0.31,0.184,0.042,0.021,0.443,0.559,0.659,0.429,0.486,0.359,0.356,0.553,0.906,0.041,264,0.326,1397,0.255,0.374,1,1,182641502,137691448,10844750,34105304,15,24.7,187673271,-33026271,166164036,71853571,16916687,15,24.7,82.0,0.693333,-7428036.866667,73.333333,5891661.354839,0.169731,-0.028526,-0.027924,0.618698,0.059377,0.090139,6053976.483871,0.186734,0.753889,0.432426,-0.175977,1.005821,1.819014,0.646901,-5.1,-0.006,-2.2,-1.4,1.862745,0.443094,0.245304,0.231111,0.753,0.699774,0.5075,0.018,0.7295,1661,0.264177,0.464516,0.135484,1.474194,-0.5424,-0.822114,0.620223
DAL,Dallas Mavericks,26.0,56.0,0.317073,0.317,114.1,-5.51,-5.33,111.2,116.5,-5.3,101.7,0.564,220501292,220.501292,200372430,-45725430,6644286,10343186,26.666667,73.333333,23.333333,75.862069,49.798851,17,26.0,0.466,0.344,0.755,44.7,25.3,7.5,5.2,14.5,26.2,8480818.923,2.0,12.0,-0.025,-0.024,82,242.1,41.9,89.8,11.0,31.9,30.9,57.9,0.533,19.5,25.8,10.5,34.2,18.4,26.2,26.0,56.0,28,54,-5.51,0.18,-5.33,111.2,116.5,-5.3,101.7,0.287,0.355,0.564,0.527,12.6,23.2,0.217,0.546,11.4,74.1,0.183,American Airlines Center,790821,19288,2,26-56,15,26.0,171248316,6644286,42608690,220501292,24,26-56,15,26.0,200372430,-45725430,174224556,88319088,10343186,47.7,9.0,20.4,14.1,2.0,2.3,4.3,46.0,54.0,0.29,27.2,16.1,43.3,18,18,182455744,10136430.222222,7357143.0,36566002,131970,10065024.815265,36434032,86528965,115067459,439411278,0.20041,0.474246,0.63066,0.110331,149948952,124083197,61151220,24568176,,82,19855,0.466,13.4,0.645,0.229,0.236,0.108,0.072,0.355,0.533,0.715,0.455,0.428,0.368,0.344,0.503,0.888,0.065,414,0.263,1057,0.289,0.377,1,0,220501292,171248316,6644286,42608690,15,26.0,200372430,-45725430,174224556,88319088,10343186,15,26.0,82.0,-1.506667,30431753.133333,3.333333,8480818.923077,0.117913,-0.024989,-0.024036,0.504305,0.030133,0.05162,7706631.923077,0.193236,0.776632,0.506927,-0.228202,0.827459,2.408317,0.992956,-5.3,-0.019,-1.2,-2.7,1.744828,0.355234,0.287305,0.234899,0.584,0.64507,0.5295,0.033,0.6955,1471,0.091259,0.542308,0.165385,1.665385,-0.589499,-0.944531,0.276578
